Suburb,Longitude,Latitude,Area
Melton,144.5889302,-37.68409339,9.119969033
Melton South,144.5876861,-37.72058572,38.84361479
Melton West,144.5425878,-37.66487372,30.57004912
Mentone,145.0689914,-37.98166949,5.679284446
Menzies Creek,145.401304,-37.92368169,9.22002864
Mernda,145.0818941,-37.59215878,29.97262289
Merricks North,145.0767303,-38.34518457,32.17414399
Merrimu,144.4772302,-37.65713042,23.25551359
Mickleham,144.9020121,-37.53662484,63.32061327
Middle Park,144.9620404,-37.85114609,1.096802001
Mill Park,145.064468,-37.66397499,16.58367728
Millgrove,145.6547294,-37.7530915,3.078246102
Mitcham,145.1990451,-37.81816167,8.391176529
Monbulk,145.4284925,-37.87415035,24.35613964
Monegeetta,144.8053618,-37.39688644,67.73300271
Mont Albert,145.1075325,-37.81754718,2.239208021
Mont Albert North,145.1108984,-37.80355576,2.651890936
Montmorency,145.1253152,-37.71897276,4.93121057
Montrose,145.3479256,-37.81115585,13.33473273
Moonee Ponds,144.921483,-37.76564954,5.511832625
Moorabbin,145.0578106,-37.94146082,5.797019599
Moorabbin Airport,145.0995597,-37.97747032,3.883731512
Moorooduc,145.1190349,-38.24698678,54.59493224
Mooroolbark,145.3257059,-37.78136491,15.87973235
Mordialloc,145.0961453,-37.99942253,5.621114284
Mornington,145.0602598,-38.23042889,26.8355092
Mount Cottrell,144.6556794,-37.78913174,154.4217719
Mount Dandenong,145.3550881,-37.83213536,6.289642543
Mount Eliza,145.0928557,-38.19505,29.51122831
Mount Evelyn,145.38819,-37.78726608,21.46527657
Mount Macedon,144.5931926,-37.39297783,42.7683299
Mount Martha,145.0307727,-38.27541622,38.4683818
Mount Waverley,145.1284759,-37.87840925,19.24998625
Mulgrave,145.1759481,-37.92574092,13.58441451
Murrumbeena,145.0703594,-37.8968573,3.18113615
Myrniong,144.3500587,-37.62015118,0.957617964
Narbethong,145.7221611,-37.51093608,519.6842486
Narre Warren,145.3059208,-38.01796652,17.99857015
Narre Warren East,145.3337194,-37.95254489,29.70841947
Narre Warren North,145.312765,-37.98136361,27.07419086
Narre Warren South,145.301909,-38.05438011,16.5403217
New Gisborne,144.615309,-37.45239944,32.9295956
Newham,144.603678,-37.29959781,61.55115595
Newport,144.8803477,-37.8436897,6.242808915
Niddrie,144.884814,-37.73978396,2.232277499
Noble Park,145.1767008,-37.96955909,10.87215688
Noble Park North,145.1908219,-37.95119131,4.820386157
North Melbourne,144.9451553,-37.7985244,3.055023862
North Warrandyte,145.2155347,-37.72580355,11.10470856
Northcote,145.0010249,-37.77284,7.378606019
Notting Hill,145.1455869,-37.90559651,1.398060287
Nunawading,145.1765257,-37.81735478,6.446448948
Nutfield,145.1854732,-37.60213216,8.866200619
Oak Park,144.917097,-37.71761025,2.586907565
Oaklands Junction,144.8537672,-37.6054077,55.67896016
Oakleigh,145.0957033,-37.90067509,4.389984078
Oakleigh East,145.1153419,-37.9039678,2.577911472
Oakleigh South,145.0942075,-37.92442924,8.450599596
Officer,145.4114104,-38.05427126,35.59620735
Olinda,145.3854846,-37.84372724,46.32017395
Ormond,145.041413,-37.9038867,2.601958741
Pakenham,145.4848312,-38.07343207,109.7590608
Pakenham South,145.4927613,-38.13862053,31.70687509
Pakenham Upper,145.5076562,-38.00777658,40.60056526
Panton Hill,145.2476744,-37.64425724,28.81843912
Park Orchards,145.2146562,-37.77689019,11.88067456
Parkdale,145.0812549,-37.99190326,4.565486531
Parkville,144.9515524,-37.78706543,5.08146377
Parwan,144.444221,-37.77267974,120.9138302
Pascoe Vale,144.9379376,-37.72504773,6.242893062
Pascoe Vale South,144.9384779,-37.74343203,3.786563922
Patterson Lakes,145.1432514,-38.0694263,5.408701685
Pearcedale,145.2421548,-38.2015897,49.59761178
Pheasant Creek,145.2745039,-37.45368374,54.91125421
Plenty,145.1124186,-37.66741939,13.82793791
Plumpton,144.6908291,-37.68697935,74.21515027
Point Cook,144.7532575,-37.90648838,46.86181298
Point Leo,145.0693983,-38.41501931,4.144972071
Port Melbourne,144.9222544,-37.83320502,12.1060017
Portsea,144.7004675,-38.32284425,14.46885511
Powelltown,145.7476042,-37.86246798,1.579518121
Prahran,145.0005947,-37.8518848,2.400879231
Preston,145.0078238,-37.74191979,14.36521053
Princes Hill,144.9665361,-37.78185202,0.544243655
Ravenhall,144.7447852,-37.78792385,3.309966716
Red Hill,145.01596,-38.36330674,29.58920851
Red Hill South,145.0461877,-38.40118994,56.80426489
Research,145.1890477,-37.70658238,12.10856379
Reservoir,145.0069134,-37.71235511,24.02453405
Richmond,145.002492,-37.8203963,5.614052466
Riddells Creek,144.6777093,-37.43828545,104.9696939
Ringwood,145.2334662,-37.81137062,12.57627633
Ringwood East,145.2530345,-37.81315599,6.215635643
Ringwood North,145.2311934,-37.79301952,6.708408193
Ripponlea,144.9952712,-37.87781376,0.360939983
Rockbank,144.6575873,-37.7250125,46.75217933
Romsey,144.7283157,-37.3523401,102.1037857
Rosanna,145.0696366,-37.73956398,4.235397058
Rosebud,144.9094775,-38.37099603,16.11325804
Rosebud West,144.8755369,-38.37374692,6.904206265
Rowsley,144.3407234,-37.76941174,181.4950631
Rowville,145.244804,-37.92390539,27.53058157
Roxburgh Park,144.925567,-37.62578078,8.514490096
Rye,144.8099188,-38.38218183,18.78500796
Safety Beach,145.0002324,-38.31534002,7.712746493
Sandhurst,145.2086818,-38.08211547,4.033768944
Sandringham,145.0138147,-37.95332016,4.528719343
Sassafras,145.3568788,-37.86780632,4.412670402
Scoresby,145.21828,-37.90257564,11.47442306
Seabrook,144.7586738,-37.88093452,2.055658159
Seaford,145.138402,-38.10484716,15.76291417
Seaholme,144.8451432,-37.86396261,1.384088707
Seddon,144.8916288,-37.80677066,1.223477438
Selby,145.378423,-37.91872123,8.320144519
Seville,145.4755313,-37.79263791,27.01591433
Seville East,145.5031747,-37.77857591,12.20842456
Sherbrooke,145.3648706,-37.89120132,11.75361493
Shoreham,145.0516917,-38.42443842,3.653854842
Silvan,145.444445,-37.83416534,25.88790107
Skye,145.2163383,-38.10503997,21.0692558
Smiths Gully,145.2883093,-37.62698748,18.61596147
Somers,145.1726183,-38.39230121,5.253494695
Somerton,144.9507423,-37.63468512,6.803304896
Somerville,145.1981231,-38.2327704,39.85880158
Sorrento,144.7420688,-38.34472269,8.975751361
South Kingsville,144.8710307,-37.83023593,0.928694248
South Melbourne,144.9569722,-37.83347256,3.097651786
South Morang,145.083657,-37.63168106,27.10146876
South Wharf,144.9494054,-37.8253618,0.609250325
South Yarra,144.9914825,-37.83920603,4.605174265
Southbank,144.9642691,-37.82527864,1.576186143
Spotswood,144.8879724,-37.82998945,4.008687279
Springvale,145.1578294,-37.94570636,14.02445691
Springvale South,145.1478682,-37.97083566,5.763590693
St Albans,144.8049753,-37.74509368,16.16974679
St Andrews,145.2873914,-37.58324285,50.19185076
St Andrews Beach,144.8311178,-38.41997245,3.91918736
St Helena,145.1294874,-37.68953561,2.048875104
St Kilda,144.9815984,-37.86378606,4.059656866
St Kilda East,145.0021447,-37.86680573,2.851918481
St Kilda West,144.9712179,-37.85800942,0.664945569
Steels Creek,145.3809773,-37.57972956,38.10048192
Strathewen,145.2809373,-37.53362135,38.84197505
Strathmore,144.9170691,-37.73329344,4.318700075
Strathmore Heights,144.8970711,-37.71345276,0.85679151
Sunbury,144.7149413,-37.54707201,166.6578951
Sunshine,144.8342291,-37.78937046,5.995248187
Sunshine North,144.8362153,-37.7639818,10.12322688
Sunshine West,144.8110883,-37.79834231,12.14905603
Surrey Hills,145.0980832,-37.82688121,5.502794919
Sydenham,144.7652467,-37.69969552,4.483834803
Tarneit,144.6778781,-37.83087749,33.11212529
Taylors Hill,144.7528453,-37.71522708,5.807530199
Taylors Lakes,144.7863236,-37.69868636,9.485964615
Tecoma,145.3447081,-37.90300351,2.0922012
Templestowe,145.1486406,-37.75405954,20.43453921
Templestowe Lower,145.112223,-37.76386755,7.556250842
The Basin,145.3212686,-37.85566263,7.25177785
The Patch,145.402203,-37.8918531,5.019816615
Thomastown,145.0082605,-37.68395722,18.6396175
Thornbury,145.0050219,-37.75833155,6.634014991
Three Bridges,145.7316887,-37.85458354,127.7915948
Toolangi,145.506707,-37.50857385,167.5168499
Toolern Vale,144.5943071,-37.61480928,146.2416203
Tooradin,145.3827514,-38.20132446,33.95740296
Toorak,145.0175805,-37.84162266,5.463069357
Tootgarook,144.8501496,-38.3776792,4.417521301
Tottenham,144.8528875,-37.80461933,2.684818628
Travancore,144.935519,-37.78080673,0.530731769
Tremont,145.3157487,-37.87883218,6.707554788
Truganina,144.7344877,-37.83192348,33.13998562
Tuerong,145.0967183,-38.2986869,49.60823307
Tullamarine,144.8717849,-37.70459822,10.12339851
Tyabb,145.1871896,-38.26369293,32.50786589
Upper Ferntree Gully,145.3098774,-37.89665097,3.690998911
Upper Plenty,145.054758,-37.41967834,39.41614979
Upwey,145.3279712,-37.90519866,8.576305948
Vermont,145.1993105,-37.83840511,5.831169475
Vermont South,145.1878296,-37.85438401,7.820517147
Viewbank,145.0932297,-37.73990693,5.695873617
Wallan,144.9545917,-37.44185678,180.2398577
Wandin East,145.4548777,-37.81230725,11.76536244
Wandin North,145.4262908,-37.78059771,21.02554354
Wandong,144.9786573,-37.35716213,58.05141251
Wantirna,145.2259658,-37.85232581,10.49819526
Wantirna South,145.2215305,-37.87406328,17.68503224
Warburton,145.7194347,-37.78082306,68.5696061
Warneet,145.3117368,-38.22130729,0.808399724
Warrandyte,145.2091016,-37.74783013,21.91660886
Warrandyte South,145.2440678,-37.75960637,5.72585399
Warranwood,145.250079,-37.77251619,3.887224374
Waterways,145.1304851,-38.01476439,2.147248584
Watsonia,145.0836607,-37.71044027,2.945382394
Watsonia North,145.084885,-37.69601905,1.827320727
Wattle Glen,145.191528,-37.66999571,8.896877815
Werribee,144.6655946,-37.89624346,30.58184388
Werribee South,144.6976902,-37.9363833,48.77502236
Wesburn,145.6970762,-37.69007646,336.5780593
West Footscray,144.8710051,-37.80055536,4.849660948
West Melbourne,144.9252029,-37.80935015,8.32635093
Westmeadows,144.8940839,-37.67510597,6.344135836
Wheelers Hill,145.1868433,-37.90760877,13.24680095
Whittlesea,145.1322443,-37.46046556,121.790549
Wildwood,144.8078271,-37.54725977,76.54114403
Williams Landing,144.7494527,-37.86180275,7.396650365
Williamstown,144.8920898,-37.86157992,6.615354057
Williamstown North,144.8670081,-37.85307815,2.707043536
Willowmavin,144.887584,-37.22408888,181.4714415
Windsor,144.9921845,-37.85447083,1.399517239
Wollert,145.0009082,-37.59659678,79.22180175
Wonga Park,145.2697986,-37.73568023,29.34901055
Woodend,144.5263714,-37.36235872,87.46501519
Woodend North,144.528661,-37.31580803,35.84427465
Woodstock,145.0290999,-37.54255029,69.90243462
Woori Yallock,145.5365847,-37.78797777,28.86523446
Wyndham Vale,144.5409938,-37.84152825,162.4545234
Yallambie,145.0935057,-37.72515069,3.7645674
Yan Yean,145.12857,-37.54603601,42.57272521
Yannathan,145.6438841,-38.22526288,46.18204538
Yarra Glen,145.381526,-37.64682216,44.39707478
Yarra Junction,145.626452,-37.79614994,19.83707973
Yarrambat,145.1348423,-37.63753591,19.35341372
Yarraville,144.8818476,-37.8180019,7.117671189
Yellingbo,145.5290878,-37.84600952,53.74579422
Yuroke,144.8798729,-37.58362055,25.90409605
