,Suburb,Longitude,Latitude,Closest Shopping Mall,Distance to Shopping Mall,Closest Museum,Distance to Museum,Closest Zoo,Distance to Zoo
248,keilor,144.8250259,-37.71133462,Keilor Shopping Centre,2.399716010049036,,,,
249,keilor downs,144.8047536,-37.72061845,Keilor Shopping Centre,0.7857648932428423,,,,
250,keilor east,144.8560985,-37.73837163,The Centreway,1.1430946622010072,,,,
251,keilor lodge,144.79974909999999,-37.69838999,Taylors Lakes Shopping Centre,0.41911450555523966,,,,
252,keilor north,144.7930147,-37.68161742,Taylors Lakes Shopping Centre,2.3612719494788488,,,,
253,keilor park,144.85089630000002,-37.71870659,The Centreway,2.0915976406526973,,,,
254,kensington,144.927044,-37.79435472,Showgrounds Village,1.714473165205307,Melbourne Mint,3.265678515997792,Melbourne Zoo,2.5004212581972842
255,kew,145.0333005,-37.80336402,Glenferrie Centre,1.9299652840096384,National Sports Museum,4.633306481291045,,
256,kew east,145.05277180000002,-37.79043115,Ivanhoe Plaza,2.6666616469055593,National Sports Museum,6.793666743153058,,
257,keysborough,145.1673378,-38.00538047,Parkmore Shopping Centre,1.478973102377312,Australian National Aviation Museum,7.370156467927729,,
258,kilmore,144.92748909999997,-37.30610891,,,,,,
259,kilmore east,145.0112212,-37.27827620000001,,,,,,
260,kilsyth,145.3172159,-37.81446087,Churinga shopping centre,1.4100932100627754,,,,
261,kilsyth south,145.3109853,-37.83149559,Alchester Village Shops,1.7510216641546434,,,,
262,kinglake,145.3459562,-37.55270448,,,Steels Creek Community Hall,4.865738785330138,,
263,kinglake central,145.35234780000002,-37.46980278,,,,,,
264,kinglake west,145.2485439,-37.50305436,,,,,,
265,kings park,144.7719496,-37.73371641,Delahey Village,1.1287266479446625,,,,
266,kingsbury,145.033807,-37.71610538,Summerhill Shopping Centre,1.03880505174244,,,,
267,kingsville,144.8793757,-37.80887184,Yarraville Square Shopping Centre,0.9112516656633295,Victorian Archives Centre,5.725159280784485,Melbourne Zoo,6.991312102577971
